Time [s],CLK,A13,A14,A15,MODE0,MODE1,IOM,POWER,STATE0,STATE1,ROM0_CS,RAM0_CS,RAM1_CS,BSRE,ROM1_CS,RDY
29.833100800,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1
29.838142000,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1
29.843210800,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1
29.845276400,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.845284600,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.847335000,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.851377200,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.856384000,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.861448800,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.863523200,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.865574200,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.870613600,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.875654600,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.880724800,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.882781800,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.882790600,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.882799000,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.884847600,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.889885600,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.894925400,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.899991600,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.902066600,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.904118400,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.909159200,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.914200800,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.919266800,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.921275400,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.921283400,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.923335200,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.927375000,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.932415000,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.937486600,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.939557800,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.941610000,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.946650400,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.951690600,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.956757800,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.956765000,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
29.961813800,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
29.966879400,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
29.968935600,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
29.968943800,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
